@relation amazonReview
@attribute "Unrestricted Type-Token ratio" numeric
@attribute "Guiraud's R" numeric
@attribute "Herdan's C" numeric
@attribute "Dugast's k" numeric
@attribute "Tuldava's LN" numeric
@attribute "Yule's K" numeric
@attribute "Honore's H" numeric
@attribute "Yule's K" numeric
@attribute "Entropy" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
.028,1.137,.517,1.913,-.135,582.571,740.001,.043,18.988,Johnson
.028,1.102,.513,1.894,-.136,567.656,737.463,.068,18.620,Johnson
.031,1.087,.512,1.855,-.141,615.599,710.906,.053,19.168,Johnson
.027,1.053,.507,1.865,-.136,623.616,732.383,.049,17.826,Johnson
.023,.890,.484,1.776,-.137,637.150,728.619,.059,15.827,Johnson
.035,1.149,.520,1.870,-.143,637.757,699.760,.158,20.932,Johnson
.043,1.285,.537,1.902,-.148,619.512,677.308,.105,25.846,Johnson
.031,1.042,.506,1.823,-.142,642.040,702.909,.114,19.848,Johnson
.040,1.326,.540,1.944,-.143,579.747,700.397,.114,25.065,Johnson
.023,.869,.481,1.762,-.137,643.838,727.448,.091,15.519,Johnson
.043,1.255,.534,1.888,-.148,636.142,676.734,.108,25.074,Johnson
.029,1.003,.500,1.813,-.141,605.187,710.497,.114,18.561,Koenig
.033,1.030,.504,1.798,-.145,629.032,687.213,.031,20.955,Koenig
.030,1.015,.502,1.809,-.142,620.303,702.287,.118,19.521,Koenig
.025,.915,.488,1.783,-.138,611.148,722.984,.088,16.447,Koenig
.030,1.092,.512,1.868,-.139,594.765,720.192,.075,18.901,Koenig
.032,1.076,.510,1.839,-.142,641.683,702.019,.139,19.900,Koenig
.034,1.246,.530,1.937,-.138,616.691,721.744,.087,20.880,Koenig
.032,1.042,.506,1.816,-.143,595.912,696.979,.088,20.265,Koenig
.032,1.067,.509,1.836,-.142,622.383,703.791,.028,20.028,Koenig
.038,1.190,.525,1.873,-.145,592.446,687.420,.108,23.728,Koenig
.029,1.054,.507,1.847,-.139,617.970,717.012,.026,18.641,Koenig
.026,1.013,.502,1.843,-.137,638.449,730.047,.077,17.409,Koenig
.030,.966,.495,1.773,-.144,629.585,693.634,.000,19.171,Koenig
.036,1.177,.523,1.876,-.144,622.651,694.986,.105,23.009,Koenig
.030,1.025,.504,1.819,-.142,703.118,706.048,.000,19.281,Koenig
.030,1.025,.504,1.819,-.142,703.118,706.048,.000,19.281,Koenig
.031,1.016,.502,1.802,-.144,650.787,696.035,.091,20.162,Koenig
.038,1.130,.518,1.838,-.147,611.837,680.793,.029,22.860,Koenig
.038,1.117,.516,1.828,-.148,616.628,677.194,.152,23.266,Koenig
.039,1.204,.527,1.876,-.146,617.665,685.118,.135,23.670,Koenig
.030,1.157,.520,1.912,-.136,614.018,732.251,.222,18.901,Koenig
.024,.882,.483,1.758,-.139,651.130,718.159,.000,15.796,Koenig
.027,.880,.482,1.732,-.143,669.317,699.026,.000,17.209,Koenig
.028,.946,.492,1.776,-.142,641.145,704.229,.094,18.143,Koenig
.031,.961,.494,1.763,-.145,627.706,688.141,.033,19.350,Koenig
.040,1.195,.526,1.868,-.147,596.597,681.014,.139,24.024,Koenig
.035,1.277,.534,1.944,-.139,587.050,716.781,.130,22.030,Koenig
.037,1.258,.533,1.924,-.142,632.983,706.305,.047,23.053,Koenig
.036,1.089,.512,1.821,-.146,630.872,682.329,.030,22.646,Koenig
.035,1.126,.517,1.851,-.144,622.499,692.952,.139,21.621,Koenig
.037,1.151,.520,1.857,-.145,685.960,688.551,.139,22.692,Koenig
.035,1.176,.523,1.888,-.142,623.950,705.359,.150,21.302,Koenig
.031,.946,.492,1.750,-.146,591.953,684.588,.000,19.304,Koenig
.035,1.091,.513,1.829,-.145,620.830,687.936,.088,21.333,Koenig
.035,1.118,.516,1.849,-.144,627.311,694.312,.056,21.131,Koenig
.041,1.326,.541,1.939,-.144,577.218,695.845,.116,25.229,Koenig
.030,.999,.500,1.798,-.143,641.420,699.485,.121,19.119,Koenig
.032,1.086,.512,1.848,-.142,629.792,705.704,.081,19.927,Koenig
.034,1.104,.514,1.846,-.143,633.542,696.979,.083,21.005,Koenig
.029,1.037,.505,1.836,-.140,646.063,714.992,.108,18.919,Koenig
.040,1.260,.533,1.908,-.145,591.154,691.572,.150,24.254,Koenig
.027,.968,.495,1.804,-.139,682.272,717.549,.057,17.419,Koenig
.026,.963,.495,1.803,-.139,679.522,718.690,.057,17.251,Koenig
.037,1.223,.529,1.905,-.142,584.944,702.376,.122,22.903,Koenig
.031,1.098,.513,1.864,-.140,643.052,713.966,.103,19.742,Koenig
.027,.968,.495,1.804,-.139,682.272,717.549,.057,17.419,Koenig
.027,.975,.496,1.806,-.140,673.061,716.085,.057,17.522,Koenig
.027,.968,.496,1.804,-.139,676.422,717.472,.086,17.491,Koenig
.026,.948,.493,1.792,-.140,672.852,715.851,.059,17.285,Koenig
.031,1.093,.512,1.862,-.140,629.133,714.992,.154,19.237,Koenig
